config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4_attnres,wikitext2,validation,819200,3,1.9237504502137501,0.01921957568514435,6.847434097721179,0.1322714186830123,2.775385234431288,0.02772798652894794
medium,deepseekv4_attnres,wikitext2,validation,1024000,3,1.8460793793201447,0.033170969596052174,6.33726975796318,0.2118295050070441,2.6633295656325484,0.047855593337703055
medium,deepseekv4_attnres,wikitext2,validation,1228800,3,1.795465091864268,0.01474820714326281,6.022711068479402,0.08865217592526634,2.5903085841218267,0.021277165307588226
medium,deepseekv4_attnres,wikitext2,validation,1433600,3,1.7557833194732666,0.026998626948366307,5.789386742485308,0.1563773904188431,2.5330598878796446,0.03895078520921931
medium,deepseekv4_attnres,wikitext2,validation,1638400,3,1.7276123116413753,0.035227827859466716,5.629515623273794,0.19645610033849464,2.4924177145837305,0.05082301255414268
medium,deepseekv4_attnres,wikitext2,validation,1843200,3,1.7020479788382847,0.014952347928025678,5.485579302523351,0.08235318542876185,2.4555361784250773,0.02157167820540896
medium,deepseekv4_attnres,wikitext2,validation,2048000,3,1.674600437283516,0.03891189942986778,5.339352114575671,0.20725112842661422,2.4159377463394183,0.05613800433904024
medium,deepseekv4_dn,tiny_shakespeare,validation,2048,3,5.5073860088984175,0.001970098206836675,246.50623887271328,0.4858273712791499,7.945478483299007,0.0028422509130676364
medium,deepseekv4_dn,tiny_shakespeare,validation,204800,3,2.3499134381612143,0.012174973715274531,10.485180116801624,0.1276357556205816,3.390208463753518,0.01756477420198002
medium,deepseekv4_dn,tiny_shakespeare,validation,409600,3,2.0334446281194687,0.013792081962356916,7.6408428790649365,0.10509927081026516,2.9336404809102596,0.019897768250626478
medium,deepseekv4_dn,tiny_shakespeare,validation,614400,3,1.8577493727207184,0.01062730416176638,6.409536425255749,0.06792180326950391,2.680165807238763,0.01533195901219912
medium,deepseekv4_dn,tiny_shakespeare,validation,819200,3,1.7706649353106816,0.03217135412865541,5.876790359146938,0.1897382376905963,2.5545295212486976,0.046413453060093895
medium,deepseekv4_dn,tiny_shakespeare,validation,1024000,3,1.7147781650225322,0.0043425342501269195,5.555477903859685,0.024123693318218085,2.4739019549026837,0.006264952627548487
medium,deepseekv4_dn,tiny_shakespeare,validation,1228800,3,1.6493173589309056,0.03336331747929389,5.205357027354743,0.17359563440754242,2.3794619745817003,0.04813309267498124
medium,deepseekv4_dn,tiny_shakespeare,validation,1433600,3,1.6069887081782024,0.037204462672014396,4.990086736538226,0.18756978279626818,2.318394640053254,0.05367469379585387
medium,deepseekv4_dn,tiny_shakespeare,validation,1638400,3,1.5886222968498867,0.03410296638556168,4.898886769589215,0.16578337398490992,2.291897509510966,0.04920018048405299
medium,deepseekv4_dn,tiny_shakespeare,validation,1843200,3,1.5565050144990284,0.025393252064020093,4.743235106975653,0.11999262948687006,2.2455620655365522,0.036634718824805325
medium,deepseekv4_dn,tiny_shakespeare,validation,2048000,3,1.5110911776622136,0.03456359707770481,4.533478477840602,0.15676940162566688,2.1800437483443393,0.04986473009928892
medium,deepseekv4_dn,wikitext2,validation,2048,3,5.505914906660716,0.002478375391065132,246.14405525726386,0.6104434613189876,7.943356131396034,0.0035755398861507374
medium,deepseekv4_dn,wikitext2,validation,204800,3,2.428397059440613,0.0009943845679110342,11.340692790880745,0.011280240052000888,3.503436394964313,0.0014345936848617316
medium,deepseekv4_dn,wikitext2,validation,409600,3,2.078987101713816,0.009390486356471201,7.996600765718349,0.07528958613546814,2.9993443817146415,0.013547608098016466
medium,deepseekv4_dn,wikitext2,validation,614400,3,1.961994046966235,0.037015774884578606,7.116732172097945,0.2615967746482533,2.8305590818118556,0.05340247486064384
medium,deepseekv4_dn,wikitext2,validation,819200,3,1.868679791688919,0.0030855481361547876,6.479756722192207,0.020008368005050268,2.695935068479025,0.004451504994454736
medium,deepseekv4_dn,wikitext2,validation,1024000,3,1.7956438014904659,0.028526497945818467,6.024992596583767,0.17300404956160714,2.5905664076133017,0.04115503712036158
