seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,deepseekv4,tiny_shakespeare,validation,2048,5.504241645336151,245.73203296723213,7.940942125580974
42,medium,deepseekv4,tiny_shakespeare,validation,204800,2.5971925258636475,13.425991949062412,3.746956777297365
42,medium,deepseekv4,tiny_shakespeare,validation,409600,2.330614387989044,10.284258117091438,3.3623658197762607
42,medium,deepseekv4,tiny_shakespeare,validation,614400,2.1441139578819275,8.534475981046311,3.0933025741370646
42,medium,deepseekv4,tiny_shakespeare,validation,819200,2.0065916925668716,7.437923367156754,2.894899883955217
42,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.9200234562158585,6.821118465041407,2.770008318673107
42,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.8289110958576202,6.227102247975862,2.6385609682205886
42,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7519696801900864,5.7659485731247075,2.5275579693980608
42,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.6915919482707977,5.428115109007008,2.44045131497798
42,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.685843288898468,5.397000244278816,2.43215775260976
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6110458821058273,5.008046315740785,2.324247904758663
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,2048,5.5042917132377625,245.7443365624865,7.941014358294336
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,204800,2.364935487508774,10.643352166198214,3.411880699851231
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,409600,2.088129162788391,8.069803744074159,3.012533587890435
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,614400,1.9162268340587616,6.795270354344358,2.764530950714934
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,819200,1.803793340921402,6.072639420293212,2.602323707735842
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1024000,1.752184510231018,5.7671874051570855,2.527867903632747
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1228800,1.6993851959705353,5.47058302113396,2.4516945947868107
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1433600,1.643776997923851,5.174677394203189,2.371468923232088
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1638400,1.5998509228229523,4.952294095338833,2.3080969925183052
42,medium,deepseekv4_attnres,tiny_shakespeare,validation,1843200,1.6317074745893478,5.11259689925771,2.3540562817715065
