seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,deepseekv4,tiny_shakespeare,train_eval,51200,3.0952447950839996,22.092646046797576,4.465494316205062
42,small,deepseekv4,tiny_shakespeare,validation,51200,3.106826215982437,22.349997651526028,4.482202774701686
42,small,deepseekv4,tiny_shakespeare,test,51200,3.089327096939087,21.962294507202056,4.456956882437919
42,small,deepseekv4_attnres,tiny_shakespeare,train_eval,51200,3.0959835052490234,22.108972138387102,4.466560049696796
42,small,deepseekv4_attnres,tiny_shakespeare,validation,51200,3.1059198081493378,22.32974861691307,4.4808951046158505
42,small,deepseekv4_attnres,tiny_shakespeare,test,51200,3.084704488515854,21.86100570921074,4.450287868189749
