seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,163840,0,6,310
42,medium,deepseekv4,tiny_shakespeare,163840,0,7,857
42,medium,deepseekv4,tiny_shakespeare,163840,1,0,338
42,medium,deepseekv4,tiny_shakespeare,163840,1,1,411
42,medium,deepseekv4,tiny_shakespeare,163840,1,2,937
42,medium,deepseekv4,tiny_shakespeare,163840,1,3,499
42,medium,deepseekv4,tiny_shakespeare,163840,1,4,644
42,medium,deepseekv4,tiny_shakespeare,163840,1,5,318
42,medium,deepseekv4,tiny_shakespeare,163840,1,6,525
42,medium,deepseekv4,tiny_shakespeare,163840,1,7,424
42,medium,deepseekv4,tiny_shakespeare,163840,2,0,594
42,medium,deepseekv4,tiny_shakespeare,163840,2,1,523
42,medium,deepseekv4,tiny_shakespeare,163840,2,2,653
42,medium,deepseekv4,tiny_shakespeare,163840,2,3,422
42,medium,deepseekv4,tiny_shakespeare,163840,2,4,541
42,medium,deepseekv4,tiny_shakespeare,163840,2,5,497
42,medium,deepseekv4,tiny_shakespeare,163840,2,6,551
42,medium,deepseekv4,tiny_shakespeare,163840,2,7,315
42,medium,deepseekv4,tiny_shakespeare,163840,3,0,457
42,medium,deepseekv4,tiny_shakespeare,163840,3,1,548
42,medium,deepseekv4,tiny_shakespeare,163840,3,2,476
42,medium,deepseekv4,tiny_shakespeare,163840,3,3,258
42,medium,deepseekv4,tiny_shakespeare,163840,3,4,929
42,medium,deepseekv4,tiny_shakespeare,163840,3,5,431
42,medium,deepseekv4,tiny_shakespeare,163840,3,6,593
42,medium,deepseekv4,tiny_shakespeare,163840,3,7,404
42,medium,deepseekv4,tiny_shakespeare,163840,4,0,591
42,medium,deepseekv4,tiny_shakespeare,163840,4,1,482
42,medium,deepseekv4,tiny_shakespeare,163840,4,2,418
42,medium,deepseekv4,tiny_shakespeare,163840,4,3,506
42,medium,deepseekv4,tiny_shakespeare,163840,4,4,390
42,medium,deepseekv4,tiny_shakespeare,163840,4,5,491
42,medium,deepseekv4,tiny_shakespeare,163840,4,6,620
42,medium,deepseekv4,tiny_shakespeare,163840,4,7,598
