config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,deepseekv4,tiny_shakespeare,validation,2048,3,5.503184040387471,0.0009248881219009275,245.47235293898441,0.22708982299932307,7.939416324166294,0.001334331506843382
medium,deepseekv4,tiny_shakespeare,validation,204800,3,2.6040758887926736,0.01864333681741423,13.520297675615103,0.25317373384552116,3.7568873708597104,0.026896649572106152
medium,deepseekv4,tiny_shakespeare,validation,409600,3,2.3118471999963126,0.01690173886805469,10.094014543908253,0.17115864691458393,3.3352904907277154,0.02438405484734286
medium,deepseekv4,tiny_shakespeare,validation,614400,3,2.105656956632932,0.03382689749783746,8.2156468168335,0.28020355620148807,3.0378208491476784,0.0488018972687893
medium,deepseekv4,tiny_shakespeare,validation,819200,3,1.9850695580244064,0.02318925715850709,7.2808566709752895,0.1684482089214993,2.863850007181458,0.033455026304477
medium,deepseekv4,tiny_shakespeare,validation,1024000,3,1.8906797220309575,0.02700206500741914,6.6254837601337995,0.17959628827408186,2.727674258883386,0.03895574527996498
medium,deepseekv4,tiny_shakespeare,validation,1228800,3,1.808959831794103,0.028798477546865833,6.105773687027374,0.17444561365335498,2.609777378496686,0.04154742074201573
medium,deepseekv4,tiny_shakespeare,validation,1433600,3,1.754185398419698,0.045030079070767635,5.782649296857097,0.260758090392263,2.530754575099929,0.0649646717662344
medium,deepseekv4,tiny_shakespeare,validation,1638400,3,1.7024735460678737,0.009810549004689608,5.487680045124832,0.05373524262578329,2.4561501421567695,0.014153630397463745
medium,deepseekv4,tiny_shakespeare,validation,1843200,3,1.6494079728921254,0.039024010419193005,5.2065338537746735,0.2024282212195904,2.3795927028941875,0.05629974630736897
medium,deepseekv4,tiny_shakespeare,validation,2048000,3,1.5930198083321254,0.03091802272677887,4.920137754940523,0.1507397180119343,2.298241777518644,0.044605278062016106
medium,deepseekv4,wikitext2,validation,2048,3,5.501470883687337,0.0008485837694224339,245.0521692734998,0.2079063681755473,7.936944761490746,0.001224247595924434
medium,deepseekv4,wikitext2,validation,204800,3,2.6261514921983085,0.009103002669544244,13.820861549867772,0.12610781831915838,3.7887357344176507,0.013132856808550402
medium,deepseekv4,wikitext2,validation,409600,3,2.345985690752665,0.004281861633362522,10.443625565336491,0.044677995261945824,3.3845419220453397,0.006177420544224833
medium,deepseekv4,wikitext2,validation,614400,3,2.196556399265925,0.023741761597022997,8.995671423388325,0.21223753207995427,3.1689610242538677,0.0342521217179931
medium,deepseekv4,wikitext2,validation,819200,3,2.0817788541316986,0.0147934343310572,8.019303671788656,0.11812323639294187,3.0033720290833106,0.02134241434713292
medium,deepseekv4,wikitext2,validation,1024000,3,1.9652865678071976,0.018992693591164414,7.137814091099511,0.13517879997040072,2.8353091853011354,0.027400664857096305
medium,deepseekv4,wikitext2,validation,1228800,3,1.8847990532716115,0.03186800113588154,6.58725682899934,0.20938524979085782,2.7191902472271674,0.04597580720178
medium,deepseekv4,wikitext2,validation,1433600,3,1.8219161679347355,0.054405480839858404,6.189758615788762,0.33329677611750513,2.628469420394867,0.07849051740484343
medium,deepseekv4,wikitext2,validation,1638400,3,1.7721096128225327,0.05612974510200346,5.889376227586271,0.3259583592073487,2.556613750330729,0.08097810490502205
